Gene	Alias
NRBP2	DKFZp434P086
DNASE1L1	DNL1L,DNAS1L1,DNASEX,XIB
GPR68	OGR1
DGKQ	DAGK7,DAGK,DAGK4
IL3	IL-3,MCGF,MULTI-CSF,MGC79399,MGC79398
FAM184B	KIAA1276
ABHD1	LABH1,FLJ36128
OGFOD2	FLJ13491,FLJ37501
TOX4	KIAA0737,C14orf92,LCP1
ZFX	ZNF926
FFAR3	GPR41,FFA3R
ZDHHC6	ZNF376,FLJ21952
APP	AD1
EIF5AL1	bA342M3.3,EIF5AP1
NUTM2G	FAM22G
SLIT2	SLIL3,Slit-2
XDH	XO,XOR
TRIM29	ATDC,FLJ36085
EIF4G2	p97,DAP5,NAT1
FGL1	HPS,HFREP-1
ZBTB39	ZNF922,KIAA0352
FBN3	KIAA1776
GTF3C3	TFIIIC102,TFiiiC2-102
KLF3	BKLF
PCDH1	pc42
DISP2	KIAA1742,DISPB,C15orf36,LINC00594,HsT16908
CNTNAP4	CASPR4,KIAA1763
SHH	HHG1,SMMCI,HPE3,TPTPS,TPT,HLP3,MCOPCB5
HIPK3	DYRK6,PKY,FIST3,YAK1
HIAT1	MFSD14A
SETSIP	SETP18
PPIL2	UBOX7,CYC4,Cyp-60
RBM33	PRR8,DKFZp434D1319,MGC20460,DKFZp686F102
RGPD6	RGP6
ZNF812	ZNF812P
MPG	MDG
CPLX1	CPX-I
NENF	CIR2,SCIRP10,SPUF
FCN2	FCNL,P35,ficolin-2,EBP-37
CT83	FLJ22913,FLJ20611,CXorf61,KK-LC-1
PPP1R26	KIAA0649
RBFOX2	FOX-2,HNRBP2,RBM9,HRNBP2
TMEM183A	C1orf37
TMEM102	CBAP,FLJ36878
ZNF740	Zfp740
CYTH1	D17S811E,cytohesin-1,PSCD1,B2-1
DACT2	C6orf116,bA503C24.7,DAPPER2
AMY2A	AMY2
CACNG1	CACNLG
FDX1L	FDX2
SCO2	MYP6,SCO1L
B4GALT4	beta4Gal-T4
ZNF18	Zfp535,HDSG1,KOX11,ZNF535,ZKSCAN6,ZSCAN38
APBB1	Fe65,RIR
RBM15B	OTT3,HUMAGCGB
COL1A1	OI4
ITK	LYK,EMT,PSCTK2
ABCE1	RLI1,RNASELI,OABP,RNASEL1,RLI,RNS4I
REG1B	REGH,REGL,REGI-BETA,PSPS2
ZNF16	KOX9
ASF1B	FLJ10604
PPIC	CYPC
CACNA2D1	CACNA2,MHS3,CACNL2A,LINC01112,lncRNA-N3
HECW1	NEDL1,KIAA0322
TMEM80	FLJ38216
FOXD4L5	bA15J10.2,OTTHUMG00000013332
MYH10	NMMHCB
CCDC9	DKFZP586M1019
LDLRAD3	LRAD3
C11orf80	FLJ22531,TOPOVIBL
EPHX4	EPHXRP,FLJ90341,ABHD7,EH4
PAPL	PAPL1,FLJ16165,ACP7
